Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Knack,2 million,2013-11-15,Platformbeat 'em up,Japan Studio,Sony Computer Entertainment,PlayStation 4
Killzone: Shadow Fall,2.1 million,2013-11-15,First-person shooter,Guerrilla Games,Sony Computer Entertainment,PlayStation 4
Infamous Second Son,6 million,2014-03-21,Action-adventure,Sucker Punch Productions,Sony Computer Entertainment,PlayStation 4
The Last of Us Remastered,10 million,2014-07-29,Action-adventuresurvival horror,Naughty Dog,Sony Computer Entertainment,PlayStation 4
Minecraft: PlayStation 4 Edition,2 million,2014-09-04,Sandboxsurvival,4J Studios,Sony Computer Entertainment,PlayStation 4
Driveclub,2 million,2014-10-07,Racing,Evolution Studios,Sony Computer Entertainment,PlayStation 4
Grand Theft Auto V,20 million,2014-11-18,Action-adventure,Rockstar North,Rockstar Games,PlayStation 4
Bloodborne,2 million,2015-03-24,Action role-playing,FromSoftware,Sony Computer Entertainment,PlayStation 4
The Witcher 3: Wild Hunt,10.8 million,2015-05-18,Action role-playing,CD Projekt Red,CD Projekt,PlayStation 4
Metal Gear Solid V: The Phantom Pain,1.1 million,2015-09-01,Action-adventurestealth,Kojima Productions,Konami,PlayStation 4
Star Wars Battlefront,8.42 million,2015-11-17,First-person shooterthird-person shooter,EA DICE,Electronic Arts,PlayStation 4
Uncharted 4: A Thief's End,16 million,2016-05-10,Action-adventure,Naughty Dog,Sony Interactive Entertainment,PlayStation 4
FIFA 17,3.12 million,2016-09-27,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 4
Battlefield 1,1.3 million,2016-10-21,First-person shooter,EA DICE,Electronic Arts,PlayStation 4
Final Fantasy XV,2.5 million,2016-11-29,Action role-playing,Square Enix Business Division 2,Square Enix,PlayStation 4
Nioh,1 million,2017-02-07,Action role-playing,Team Ninja,WW: Sony Interactive EntertainmentJP: Koei Tecmo,PlayStation 4
Nier: Automata,2.6 million,2017-02-23,Action role-playing,PlatinumGames,Square Enix,PlayStation 4
Horizon Zero Dawn,10 million,2017-02-28,Action role-playing,Guerrilla Games,Sony Interactive Entertainment,PlayStation 4
Crash Bandicoot N. Sane Trilogy,2.5 million,2017-06-30,Platform,Vicarious Visions,Activision,PlayStation 4
Final Fantasy XII: The Zodiac Age,1.2 million,2017-07-11,Role-playing,Square Enix,Square Enix,PlayStation 4
Dragon Quest XI: Echoes of an Elusive Age,1.3 million,2017-07-29,Role-playing,Square Enix,Square Enix,PlayStation 4
FIFA 18,2.47 million,2017-09-29,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 4
Gran Turismo Sport,12.72 million,2017-10-17,Racing,Polyphony Digital,Sony Interactive Entertainment,PlayStation 4
Monster Hunter: World,4.67 million,2018-01-26,Action role-playing,Capcom,Capcom,PlayStation 4
God of War,19.5 million,2018-04-20,Action-adventurehack and slash,Santa Monica Studio,Sony Interactive Entertainment,PlayStation 4
Detroit: Become Human,5.5 million,2018-05-25,Adventure,Quantic Dream,Sony Interactive Entertainment,PlayStation 4
Marvel's Spider-Man,20 million,2018-09-07,Action-adventure,Insomniac Games,Sony Interactive Entertainment,PlayStation 4
FIFA 19,1.45 million,2018-09-25,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 4
Kingdom Hearts III,1 million,2019-01-25,Action role-playing,Square Enix,Square Enix,PlayStation 4
FIFA 20,1.76 million,2019-09-24,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 4
Persona 5 Royal,2.3 million,2019-10-31,Role-playingsocial simulation,P-Studio,Atlus,PlayStation 4
Nioh 2,1.46 million,2020-03-12,Action role-playing,Team Ninja,WW: Sony Interactive EntertainmentJP: Koei Tecmo,PlayStation 4
Final Fantasy VII Remake,5 million,2020-04-10,Action role-playing,Square Enix,Square Enix,PlayStation 4
The Last of Us Part II,10 million,2020-06-19,Action-adventuresurvival horror,Naughty Dog,Sony Interactive Entertainment,PlayStation 4
Ghost of Tsushima,9.73 million,2020-07-17,Action-adventurestealth,Sucker Punch Productions,Sony Interactive Entertainment,PlayStation 4
FIFA 21,1.12 million,2020-10-09,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 4
Cyberpunk 2077,3.83 million,2020-12-10,Action role-playing,CD Projekt Red,CD Projekt,PlayStation 4
FIFA 22,1.16 million,2021-10-01,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 4
