Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
FIFA 19,1.45 million,2018-09-25,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 4
Kingdom Hearts III,1 million,2019-01-25,Action role-playing,Square Enix,Square Enix,PlayStation 4
FIFA 20,1.76 million,2019-09-24,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 4
Persona 5 Royal,2.3 million,2019-10-31,Role-playingsocial simulation,P-Studio,Atlus,PlayStation 4
Nioh 2,1.46 million,2020-03-12,Action role-playing,Team Ninja,WW: Sony Interactive EntertainmentJP: Koei Tecmo,PlayStation 4
Final Fantasy VII Remake,5 million,2020-04-10,Action role-playing,Square Enix,Square Enix,PlayStation 4
The Last of Us Part II,10 million,2020-06-19,Action-adventuresurvival horror,Naughty Dog,Sony Interactive Entertainment,PlayStation 4
Ghost of Tsushima,9.73 million,2020-07-17,Action-adventurestealth,Sucker Punch Productions,Sony Interactive Entertainment,PlayStation 4
FIFA 21,1.12 million,2020-10-09,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 4
Cyberpunk 2077,3.83 million,2020-12-10,Action role-playing,CD Projekt Red,CD Projekt,PlayStation 4
FIFA 22,1.16 million,2021-10-01,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 4
Demon's Souls,1.4 million,2020-11-12,Action role-playing,Bluepoint Games,Sony Interactive Entertainment,PlayStation 5
Ratchet & Clank: Rift Apart,3.97 million,2021-06-11,"Platform, third-person shooter",Insomniac Games,Sony Interactive Entertainment,PlayStation 5
Elden Ring,3.64 million,2022-02-25,Action role-playing,FromSoftware,Bandai Namco EntertainmentJP: FromSoftware,PlayStation 5
Final Fantasy XVI,3 million,2023-06-22,Action role-playing,Square Enix Creative Business Unit III,Square Enix,PlayStation 5
EA Sports FC 24,1.04 million,2023-09-29,Sports,EA CanadaEA Bucharest,EA Sports,PlayStation 5
Marvel's Spider-Man 2,10 million,2023-10-20,Action-adventure,Insomniac Games,Sony Interactive Entertainment,PlayStation 5
Luigi's Mansion,3.33 million,2001-09-14,Action-adventure,Nintendo EAD,Nintendo,GameCube
Pikmin,1.60 million,2001-10-26,Real-time strategypuzzle,Nintendo EAD,Nintendo,GameCube
Star Wars Rogue Squadron II: Rogue Leader,1.13 million,2001-11-18,Action,Factor 5,LucasArts,GameCube
Super Smash Bros. Melee,7.41 million,2001-11-21,Fighting,HAL Laboratory,Nintendo,GameCube
Animal Crossing,2.71 million,2001-12-14,Social simulation,Nintendo EAD,Nintendo,GameCube
Sonic Adventure 2: Battle,1.73 million,2001-12-20,Platformer,Sonic Team USA,Sega,GameCube
Resident Evil,1.35 million,2002-03-22,Survival horror,Capcom Production Studio 4,Capcom,GameCube
Super Mario Sunshine,5.91 million,2002-07-19,Platformer,Nintendo EAD,Nintendo,GameCube
Star Fox Adventures,1.82 million,2002-09-23,Action-adventure,Rare,Nintendo,GameCube
Mario Party 4,2.46 million,2002-10-21,Party,Hudson Soft,Nintendo,GameCube
Sonic Mega Collection,1.37 million,2002-11-10,Compilation,Sonic Team,Sega,GameCube
Resident Evil Zero,1.25 million,2002-11-12,Survival horror,Capcom,Capcom,GameCube
Metroid Prime,2.84 million,2002-11-17,Action-adventure,Retro Studios,Nintendo,GameCube
The Legend of Zelda: The Wind Waker,4.43 million,2002-12-13,Action-adventure,Nintendo EAD,Nintendo,GameCube
Soulcalibur II,1.09 million,2003-03-27,Fighting,Namco,Namco,GameCube
Sonic Adventure DX: Director's Cut,1.60 million,2003-06-18,Action-adventure Platformer,Sonic Team,Sega,GameCube
Kirby Air Ride,1.35 million,2003-07-11,Racing,HAL Laboratory,Nintendo,GameCube
Mario Golf: Toadstool Tour,1.27 million,2003-07-28,Sports,Camelot Software Planning,Nintendo,GameCube
Final Fantasy Crystal Chronicles,1.30 million,2003-08-08,Action role-playing,The Game Designers Studio,Nintendo,GameCube
Mario Kart: Double Dash,6.96 million,2003-11-07,Racing,Nintendo EAD,Nintendo,GameCube
Mario Party 5,2.17 million,2003-11-10,Party,Hudson Soft,Nintendo,GameCube
Pokémon Colosseum,2.41 million,2003-11-21,Role-playing,Genius Sonority,NintendoThe Pokémon Company,GameCube
Donkey Konga,1.18 million,2003-12-12,Music,Namco,Nintendo,GameCube
Sonic Heroes,1.42 million,2003-12-30,Action-adventure Platformer,Sonic Team,Sega,GameCube
Pikmin 2,1.12 million,2004-04-29,Real-time strategypuzzle,Nintendo EAD,Nintendo,GameCube
Paper Mario: The Thousand-Year Door,1.91 million,2004-07-22,Role-playing,Intelligent Systems,Nintendo,GameCube
Mario Power Tennis,1.16 million,2004-10-28,Sports,Camelot Software Planning,Nintendo,GameCube
Metroid Prime 2: Echoes,1.10 million,2004-11-15,Action-adventure,Retro Studios,Nintendo,GameCube
Mario Party 6,1.63 million,2004-11-18,Party,Hudson Soft,Nintendo,GameCube
Resident Evil 4,1.60 million,2005-01-11,Survival horror,Capcom Production Studio 4,Capcom,GameCube
Star Fox: Assault,1.06 million,2005-02-14,Scrolling shooterthird-person shooter,Namco,Nintendo,GameCube
Mario Superstar Baseball,1.05 million,2005-07-21,Sports,Namco,Nintendo,GameCube
Pokémon XD: Gale of Darkness,1.42 million,2005-08-04,Role-playing,Genius Sonority,NintendoThe Pokémon Company,GameCube
Sonic Gems Collection,1 million,2005-08-11,Compilation,Sonic Team,Sega,GameCube
Mario Party 7,2.08 million,2005-11-07,Party,Hudson Soft,Nintendo,GameCube
Super Mario Strikers,1.60 million,2005-11-18,Sports,Next Level Games,Nintendo,GameCube
The Legend of Zelda: Twilight Princess,1.43 million,2006-12-02,Action-adventure,Nintendo EAD,Nintendo,GameCube
The Legend of Zelda: Breath of the Wild,31.85 million,2017-03-03,Action-adventure,Nintendo EPD,Nintendo,Nintendo Switch
1-2-Switch,3.74 million,2017-03-03,Party,Nintendo EPD,Nintendo,Nintendo Switch
Mario Kart 8 Deluxe,61.97 million,2017-04-28,Kart racing,Nintendo EPD,Nintendo,Nintendo Switch
Minecraft,5.67 million,2017-05-11,Sandboxsurvival,Mojang,JP: Xbox Game StudiosNA/PAL: Mojang,Nintendo Switch
Arms,2.72 million,2017-06-16,Fighting,Nintendo EPD,Nintendo,Nintendo Switch
Splatoon 2,13.60 million,2017-07-21,Third-person shooter,Nintendo EPD,Nintendo,Nintendo Switch
Naruto Shippudden: Ultimate Ninja Storm Trilogy,1.73 million,2017-07-27,Fighting,CyberConnect2,Bandai Namco Entertainment,Nintendo Switch
Mario + Rabbids Kingdom Battle,2 million,2017-08-29,Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: UbisoftJP/KOR: Nintendo[30],Nintendo Switch
Dragon Ball Xenoverse 2,1.82 million,2017-09-07,Fighting,Dimps,Bandai Namco Entertainment,Nintendo Switch
Pokkén Tournament DX,1.54 million,2017-09-22,Fighting,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,Nintendo Switch
Super Mario Odyssey,27.96 million,2017-10-27,Platformer,Nintendo EPD,Nintendo,Nintendo Switch
Resident Evil: Revelations Collection,1.40 million,2017-11-27,Survival horror,Capcom,Capcom,Nintendo Switch
Xenoblade Chronicles 2,2.70 million,2017-12-01,Action role-playing,Monolith Soft,Nintendo,Nintendo Switch
Human: Fall Flat,2 million,2017-12-07,Puzzle-platform,No Brakes Games,JP: Teyon JapanNA/PAL: Curve Digital,Nintendo Switch
Enter the Gungeon,1 million,2017-12-14,Bullet hell,Dodge Roll,Devolver Digital,Nintendo Switch
Bayonetta 2,1.23 million,2018-02-16,Action-adventurehack and slash,PlatinumGames,Nintendo,Nintendo Switch
Bayonetta,1.24 million,2018-02-16,Action-adventurehack and slash,PlatinumGames,Nintendo,Nintendo Switch
Kirby Star Allies,4.38 million,2018-03-16,Platformer,HAL Laboratory,Nintendo,Nintendo Switch
Nintendo Labo Toy-Con 01: Variety Kit,1.42 million,2018-04-20,Construction kit,Nintendo EPD,Nintendo,Nintendo Switch
Donkey Kong Country: Tropical Freeze,4.62 million,2018-05-04,Platformer,Retro Studios,Nintendo,Nintendo Switch
Mario Tennis Aces,4.50 million,2018-06-22,Sports,Camelot Software Planning,Nintendo,Nintendo Switch
Captain Toad: Treasure Tracker,2.35 million,2018-07-13,Action puzzle,Nintendo EPD,Nintendo,Nintendo Switch
Octopath Traveler,2.16 million,2018-07-13,Role-playing,Square EnixAcquire,JP: Square EnixNA/PAL: Nintendo,Nintendo Switch
Taiko no Tatsujin: Drum 'n' Fun!,2.27 million,2018-07-19,Rhythm,Bandai Namco Studios,Bandai Namco Entertainment,Nintendo Switch
Dragon Ball FighterZ,2.43 million,2018-09-27,Fighting,Arc System Works,Bandai Namco Entertainment,Nintendo Switch
Super Mario Party,20.66 million,2018-10-05,Party,NDcube,Nintendo,Nintendo Switch
Dark Souls Remastered,1.15 million,2018-10-19,Action role-playing game,FromSoftware,Bandai Namco Entertainment,Nintendo Switch
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",15.07 million,2018-11-16,Role-playing,Game Freak,The Pokémon CompanyNintendo,Nintendo Switch
Super Smash Bros. Ultimate,34.22 million,2018-12-07,Fighting,Bandai Namco StudiosSora Ltd.,Nintendo,Nintendo Switch
Fitness Boxing,1 million,2018-12-20,Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo,Nintendo Switch
New Super Mario Bros. U Deluxe,17.45 million,2019-01-11,Platformer,Nintendo EPD,Nintendo,Nintendo Switch
Yoshi's Crafted World,3.35 million,2019-03-29,Platformer,Good-Feel,Nintendo,Nintendo Switch
Dragon's Dogma: Dark Arisen,1.10 million,2019-04-23,Role-playing,Capcom,Capcom,Nintendo Switch
Thief Simulator,1 million,2019-05-19,Stealth,Noble Muffins,Forever Entertainment,Nintendo Switch
Super Mario Maker 2,8.42 million,2019-06-28,PlatformerLevel editor,Nintendo EPD,Nintendo,Nintendo Switch
Marvel Ultimate Alliance 3: The Black Order,1.60 million,2019-07-19,Action role-playing,Team Ninja,Nintendo,Nintendo Switch
Fire Emblem: Three Houses,4.12 million,2019-07-26,Tactical role-playing,Intelligent SystemsKoei Tecmo,Nintendo,Nintendo Switch
Astral Chain,1.33 million,2019-08-30,Action-adventurehack and slash,PlatinumGames,Nintendo,Nintendo Switch
The Legend of Zelda: Link's Awakening,6.46 million,2019-09-20,Action-adventure,Grezzo,Nintendo,Nintendo Switch
Ring Fit Adventure,15.38 million,2019-10-18,Exergamerole-playing,Nintendo EPD,Nintendo,Nintendo Switch
Resident Evil 6,1 million,2019-10-29,Survival horror,Capcom,Capcom,Nintendo Switch
Luigi's Mansion 3,14.25 million,2019-10-31,Action-adventure,Next Level Games,Nintendo,Nintendo Switch
Mario & Sonic at the Olympic Games Tokyo 2020,1.02 million,2019-11-01,Sports,Sega,Sega,Nintendo Switch
Pokémon Sword and Shield,26.27 million,2019-11-15,Role-playing,Game Freak,The Pokémon CompanyNintendo,Nintendo Switch
Dr Kawashima's Brain Training for Nintendo Switch,1.27 million,2019-12-27,Puzzle,"Nintendo EPD, indieszero",Nintendo,Nintendo Switch
Pokémon Mystery Dungeon: Rescue Team DX,1.99 million,2020-03-06,Roguelike,Spike Chunsoft,Nintendo,Nintendo Switch
Animal Crossing: New Horizons,45.36 million,2020-03-20,Social simulation,Nintendo EPD,Nintendo,Nintendo Switch
Xenoblade Chronicles: Definitive Edition,1.88 million,2020-05-29,Action role-playing,Monolith Soft,Nintendo,Nintendo Switch
Clubhouse Games: 51 Worldwide Classics,4.64 million,2020-06-05,Tabletop game,NDcube,Nintendo,Nintendo Switch
Paper Mario: The Origami King,3.47 million,2020-07-17,Role-playingaction-adventure,Intelligent Systems,Nintendo,Nintendo Switch
Super Mario 3D All-Stars,9.07 million,2020-09-18,Platformercompilation,Nintendo,Nintendo,Nintendo Switch
Mario Kart Live: Home Circuit,1.73 million,2020-10-16,Kart racingaugmented reality,Velan Studios,Nintendo,Nintendo Switch
Pikmin 3 Deluxe,2.40 million,2020-10-30,Real-time strategy,Eighting,Nintendo,Nintendo Switch
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",4 million,2020-11-19,Board game,Konami,JP: Konami,Nintendo Switch
Hyrule Warriors: Age of Calamity,4 million,2020-11-20,Hack and slash,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,Nintendo Switch
Fitness Boxing 2: Rhythm and Exercise,1 million,2020-12-04,Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo,Nintendo Switch
Among Us,3.20 million,2020-12-15,Partysocial deduction,Innersloth,Innersloth,Nintendo Switch
Super Mario 3D World + Bowser's Fury,13.47 million,2021-02-12,Platformer,Nintendo EPD,Nintendo,Nintendo Switch
Story of Seasons: Pioneers of Olive Town,1 million,2021-02-25,Simulationrole-playing,Marvelous,Xseed Games,Nintendo Switch
Monster Hunter Rise,8.02 million,2021-03-26,Action role-playing,Capcom,Capcom,Nintendo Switch
New Pokémon Snap,2.74 million,2021-04-30,Photography,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,Nintendo Switch
Miitopia,1.79 million,2021-05-21,Role-playing,Grezzo,Nintendo,Nintendo Switch
Game Builder Garage,1.15 million,2021-06-11,Programming,Nintendo EPD,Nintendo,Nintendo Switch
Mario Golf: Super Rush,2.48 million,2021-06-25,Sports,Camelot Software Planning,Nintendo,Nintendo Switch
The Legend of Zelda: Skyward Sword HD,4.15 million,2021-07-16,Action-adventure,Tantalus Media,Nintendo,Nintendo Switch
WarioWare: Get It Together!,1.34 million,2021-09-10,Party,Intelligent Systems,Nintendo,Nintendo Switch
Metroid Dread,3.07 million,2021-10-08,Action-adventure,MercurySteamNintendo EPD,Nintendo,Nintendo Switch
Mario Party Superstars,12.89 million,2021-10-29,Party,NDcube,Nintendo,Nintendo Switch
Shin Megami Tensei V,1.10 million,2021-11-11,Role-playing,Atlus,JP: AtlusNA: SegaPAL: Nintendo,Nintendo Switch
Pokémon Brilliant Diamond and Shining Pearl,15.06 million,2021-11-19,Role-playing,ILCA,The Pokémon CompanyNintendo,Nintendo Switch
Big Brain Academy: Brain vs. Brain,1.94 million,2021-12-03,Puzzle,"Nintendo EPD, indieszero",Nintendo,Nintendo Switch
Suika Game,7.40 million,2021-12-09,Puzzle,Aladdin X,Aladdin X,Nintendo Switch
Pokémon Legends: Arceus,14.83 million,2022-01-28,Action role-playing,Game Freak,The Pokémon CompanyNintendo,Nintendo Switch
Kirby and the Forgotten Land,7.52 million,2022-03-25,Platformer,HAL Laboratory,Nintendo,Nintendo Switch
Nintendo Switch Sports,13.11 million,2022-04-29,Sports,Nintendo EPD,Nintendo,Nintendo Switch
Mario Strikers: Battle League,2.54 million,2022-06-10,Sports,Next Level Games,Nintendo,Nintendo Switch
Fire Emblem Warriors: Three Hopes,1 million,2022-06-24,Hack and slashRole-playing,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,Nintendo Switch
Xenoblade Chronicles 3,1.86 million,2022-07-29,Action role-playing,Monolith Soft,Nintendo,Nintendo Switch
Splatoon 3,11.96 million,2022-09-09,Third-person shooter,Nintendo EPD,Nintendo,Nintendo Switch
Mario + Rabbids Sparks of Hope,3 million,2022-10-20,Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: Ubisoft JP: Nintendo,Nintendo Switch
Bayonetta 3,1.07 million,2022-10-28,Action-adventurehack and slash,PlatinumGames,Nintendo,Nintendo Switch
Pokémon Scarlet and Violet,24.92 million,2022-11-18,Role-playing,Game Freak,The Pokémon CompanyNintendo,Nintendo Switch
Fire Emblem Engage,1.61 million,2023-01-20,Tactical role-playing,Intelligent Systems,Nintendo,Nintendo Switch
Metroid Prime Remastered,1.09 million,2023-02-08,Action-adventure,Retro Studios,Nintendo,Nintendo Switch
Kirby's Return to Dream Land Deluxe,1.46 million,2023-02-24,Platformer,HAL Laboratory,Nintendo,Nintendo Switch
The Legend of Zelda: Tears of the Kingdom,20.61 million,2023-05-12,Action-adventure,Nintendo EPD,Nintendo,Nintendo Switch
Pikmin 4,3.48 million,2023-07-21,Real-time strategy,Nintendo EPD,Nintendo,Nintendo Switch
Super Mario Bros. Wonder,13.44 million,2023-10-20,Platformer,Nintendo EPD,Nintendo,Nintendo Switch
Momotaro Dentetsu World: Chikyuu wa Kibou de Mawatteru!,1 million,2023-11-16,Board game,Konami,JP: Konami,Nintendo Switch
Super Mario RPG,3.31 million,2023-11-17,Role-playing,ArtePiazza,Nintendo,Nintendo Switch
Dragon Quest Monsters: The Dark Prince,1 million,2023-12-01,Role-playing,Tose,Square Enix,Nintendo Switch
Mario vs. Donkey Kong,1.12 million,2024-02-16,Puzzle-platform,Nintendo Software Technology,Nintendo,Nintendo Switch
Princess Peach: Showtime!,1.22 million,2024-03-22,Action-adventure,Good-Feel,Nintendo,Nintendo Switch
Hydlide,1 million,1984-12-13,Action role-playing,Technology and Entertainment Software,Technology and Entertainment Software,PC
Where in the World Is Carmen Sandiego?,4 million,1985-06-01,Educational,Broderbund,Broderbund,PC
Last Ninja 2,5.5 million,1988-08-29,Action-adventure,System 3,Activision,PC
Populous,4 million,1989-06-05,God game,Bullfrog Productions,Electronic Arts,PC
Return to Zork,1 million,1993-08-20,Adventure,Infocom,Activision,PC
Myst,6 million,1993-09-24,"Adventure, puzzle",Cyan,Brøderbund,PC
Doom,2 million,1993-12-10,First-person shooter,id Software,id Software,PC
Doom II: Hell on Earth,2 million,1994-10-10,First-person shooter,id Software,GT Interactive,PC
Full Throttle,1 million,1995-04-30,Graphic adventure,LucasArts,LucasArts,PC
Phantasmagoria,1 million,1995-07-31,Interactive movie,Sierra Online,Sierra Online,PC
Command & Conquer,3 million,1995-08-31,Real-time strategy,Westwood Studios,Virgin Interactive Electronic Arts (since 1998; also freeware release),PC
Caesar II,2.5 million,1995-09-04,City-building game,Impressions Game,Sierra On-Line,PC
Warcraft II: Tides of Darkness,2 million,1995-12-09,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment,PC
Duke Nukem 3D,1 million,1996-01-29,First-person shooter,3D Realms,GT Interactive,PC
Civilization II,1 million,1996-02-29,"Turn-based strategy, 4X",MicroProse,MicroProse,PC
Quake,1 million,1996-06-22,First-person shooter,id Software,GT Interactive,PC
Grand Prix 2,1 million,1996-08-30,Sim racing,MicroProse,MicroProse,PC
Lords of the Realm II,2.5 million,1996-10-31,Turn-based strategy,Impressions Game,Impressions Game,PC
Command & Conquer: Red Alert,3 million,1996-10-31,Real-time strategy,Westwood Studios,Virgin Interactive,PC
Diablo,1.8 million,1996-12-31,Action role-playing,Blizzard North,Blizzard Entertainment (North America) Ubisoft (Europe),PC
POD,2 million,1997-02-28,Racing game,Ubisoft,Ubisoft,PC
Total Annihilation,1 million,1997-09-30,Real-time strategy,Cavedog Entertainment,GT Interactive,PC
Age of Empires,3 million,1997-10-15,Real-time strategy,Ensemble Studios,Microsoft,PC
Riven,1.3 million,1997-10-31,"Adventure, puzzle",Cyan,Red Orb Entertainment,PC
Frogger: He's Back!,1 million,1997-11-03,Action,SCE Studio Cambridge,Hasbro Interactive,PC
Deer Hunter,1 million,1997-11-13,Sports,Sunstorm Interactive,WizardWorks,PC
Blade Runner,1 million,1997-11-21,Point-and-click,Westwood Studios,Virgin Interactive,PC
Quake II,1 million,1997-12-09,First-person shooter,id Software,Activision,PC
StarCraft,11 million,1998-03-31,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment,PC
Unreal,1 million,1998-05-22,First-person shooter,Epic Games Digital Extremes,GT Interactive,PC
Commandos: Behind Enemy Lines,1 million,1998-06-24,Real-time tactics,Pyro Studios,Eidos Interactive,PC
Final Fantasy VII,2.1 million,1998-06-25,Role-playing game,Square,Eidos Interactive,PC
Anno 1602,2 million,1998-09-24,City-building,Max Design,Sunflowers,PC
Railroad Tycoon II,1 million,1998-11-04,Construction and management simulation,PopTop Software,Take-Two Interactive / Gathering of Developers,PC
Half-Life,1.5 million,1998-11-19,First-person shooter,Valve,Sierra Entertainment,PC
Baldur's Gate,2 million,1998-12-21,Role-playing game,BioWare Black Isle Studios,Interplay Entertainment,PC
SimCity 3000,5 million,1999-01-31,City-building,Maxis,Electronic Arts,PC
EverQuest,3 million,1999-03-16,MMORPG,Verant Interactive,Sony Online Entertainment,PC
RollerCoaster Tycoon,4 million,1999-03-31,Construction and management simulation,Chris Sawyer,MicroProse Software,PC
Caesar III,2.5 million,1999-05-30,City-building game,Impressions Game,Sierra Studios,PC
Hidden & Dangerous,1 million,1999-07-29,Action,Illusion Softworks,Take-Two Interactive,PC
Command & Conquer: Tiberian Sun,1 million,1999-08-27,Real-time strategy,Westwood Studios,Electronic Arts,PC
Age of Empires II: The Age of Kings,2 million,1999-09-30,Real-time strategy,Ensemble Studios,Microsoft,PC
Who Wants to Be a Millionaire?,1 million,1999-11-28,Trivia game,Jellyvision,Disney Interactive Studios,PC
Unreal Tournament,1 million,1999-11-30,First-person shooter,Epic Games Digital Extremes,GT Interactive,PC
The Sims,11 million,2000-02-04,Life simulation,Maxis,Electronic Arts,PC
Diablo II,4 million,2000-06-29,Action role-playing,Blizzard North,Blizzard Entertainment,PC
Baldur's Gate II: Shadows of Amn,2 million,2000-09-21,Computer role-playing game,BioWare,Interplay Entertainment,PC
American McGee's Alice,1 million,2000-10-06,"Action-adventure, platformer",Rogue Entertainment,Electronic Arts,PC
Command & Conquer: Red Alert 2,1 million,2000-10-23,Real-time strategy,Westwood Pacific,Electronic Arts,PC
Black & White,2 million,2001-03-25,God game,Lionhead Studios,EA Games Sold-Out Software,PC
Tropico,1 million,2001-04-24,Construction and management simulation,PopTop Software,Gathering of Developers,PC
Operation Flashpoint: Cold War Crisis,1 million,2001-06-22,Tactical shooter,Bohemia Interactive Studio,Codemasters,PC
Runaway: A Road Adventure,1 million,2001-07-06,Adventure,"Péndulo Studios, S.L.",Dinamic Multimedia,PC
Zoo Tycoon,1 million,2001-10-17,Business simulation,Microsoft,Blue Fang Games,PC
Stronghold,1 million,2001-10-19,Real-time strategy,Firefly Studios,Take-Two Interactive / Gathering of Developers,PC
Civilization III,2 million,2001-10-30,"Turn-based strategy, 4X",Firaxis Games,Infogrames,PC
Empire Earth,1 million,2001-11-12,Real-time strategy,Stainless Steel Studios,Sierra Entertainment,PC
Harry Potter and the Philosopher's Stone,1 million,2001-11-15,Action-adventure,KnowWonder,Electronic Arts,PC
Return to Castle Wolfenstein,1 million,2001-11-19,First-person shooter,Gray Matter Studios id Software,Activision,PC
Dungeon Siege,1 million,2002-04-05,Role-playing game,Gas Powered Games,Microsoft Game Studios,PC
Hotel Giant,1 million,2002-05-17,Business simulation,Enlight Software,JoWood Productions,PC
Neverwinter Nights,2 million,2002-06-18,Role-playing game,BioWare,Infogrames / Atari,PC
Warcraft III: Reign of Chaos,3 million,2002-07-03,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment (North America) Sierra Entertainment (Europe) Capcom (Japan),PC
Stronghold: Crusader,2 million,2002-07-31,Real-time strategy,Firefly Studios,Take-Two Interactive / Gathering of Developers,PC
Mafia: The City of Lost Heaven,2 million,2002-08-28,Third-person shooter,Illusion Softworks,Gathering of Developers,PC
Battlefield 1942,2 million,2002-09-10,First-person shooter,EA DICE,Electronic Arts,PC
Age of Mythology,1 million,2002-10-30,Real-time strategy,Ensemble Studios,Microsoft,PC
SimCity 4,2 million,2003-01-14,City-building,Maxis,Electronic Arts (Windows) Aspyr Media (macOS),PC
Anno 1503,2 million,2003-03-23,City-building,Max Design,Sunflowers,PC
Vietcong,1 million,2003-03-26,Tactical shooter,Pterodon Illusion Softworks,Gathering of Developers,PC
Star Wars Galaxies,1 million,2003-06-26,MMORPG,Sony Online Entertainment,LucasArts,PC
The Legend of Sword and Fairy 3,1 million,2003-07-31,Role-playing game,Softstar Entertainment,Softstar Entertainment Unistar,PC
Hidden & Dangerous 2,1 million,2003-10-21,Action,Illusion Softworks,Take-Two Interactive,PC
Patrician III: Rise of the Hanse,1 million,2003-10-24,Business simulation,Ascaron,Encore,PC
Battlefield Vietnam,1 million,2004-03-14,First-person shooter,EA DICE,Electronic Arts,PC
Counter-Strike: Condition Zero,2 million,2004-03-23,First-person shooter,Valve Gearbox Software Ritual Entertainment Turtle Rock Studios,Valve (digital) Sierra Entertainment (retail),PC
Far Cry,2 million,2004-03-23,First-person shooter,Crytek,Ubisoft,PC
Sacred,1 million,2004-03-23,Action role-playing,Ascaron,Encore Koch Media Red Ant Enterprises,PC
The Sims 2,6 million,2004-09-14,Life simulation,Maxis,Electronic Arts,PC
"Warhammer 40,000: Dawn of War (including expansions)",4 million,2004-09-20,Real-time strategy,Relic Entertainment,THQ,PC
Rome: Total War,1 million,2004-09-22,Real-time strategy,The Creative Assembly,Activision,PC
RollerCoaster Tycoon 3,10 million,2004-10-26,Construction and management simulation,Frontier Developments,"Atari, Inc. (Windows) Aspyr Media (macOS)",PC
Counter-Strike: Source,2 million,2004-11-01,First-person shooter,Valve,Electronic Arts (retail) Valve (digital),PC
Half-Life 2,12.3 million,2004-11-16,First-person shooter,Valve,Valve (digital) Sierra Entertainment (retail),PC
World of Warcraft,14 million,2004-11-23,MMORPG,Blizzard Entertainment,Blizzard Entertainment,PC
Cossacks II: Napoleonic Wars,2 million,2005-04-15,Real-time strategy,GSC Game World,CDV Software,PC
Psychonauts,1 million,2005-04-19,Platform,Double Fine Productions,THQ,PC
Guild Wars,6 million,2005-04-28,MMORPG,ArenaNet,NCsoft,PC
Dungeon Lords,1 million,2005-05-05,Role-playing game,Heuristic Park,DreamCatcher Interactive,PC
Imperivm: Great Battles of Rome,1 million,2005-05-10,Real-time strategy,Haemimont Games,FX Interactive,PC
Age of Empires III,2 million,2005-10-18,Real-time strategy,Ensemble Studios,Microsoft,PC
Civilization IV,3 million,2005-10-25,"Turn-based strategy, 4X",Firaxis Games,2K Games & Aspyr,PC
Glory of the Roman Empire,1 million,2006-06-26,City-building game,Haemimont Games,CDV Software,PC
Microsoft Flight Simulator X,1 million,2006-10-17,Amateur flight simulation,Microsoft Game Studios,Microsoft Game Studios,PC
Garry's Mod,20 million,2006-11-29,Sandbox,Facepunch Studios,Valve,PC
Supreme Commander,1 million,2007-02-16,Real-time strategy,Gas Powered Games,THQ,PC
Command & Conquer 3: Tiberium Wars,1 million,2007-03-28,Real-time strategy,EA Los Angeles,Electronic Arts,PC
BioShock,1 million,2007-08-21,First-person shooter,Irrational Games,2K Games,PC
The Witcher,2 million,2007-10-26,Action role-playing,CD Projekt Red,Atari,PC
Crysis,3 million,2007-11-13,First-person shooter,Crytek,Electronic Arts,PC
Spore,2 million,2008-09-04,God game,Maxis,Electronic Arts,PC
Crysis Warhead,1 million,2008-09-16,First-person shooter,Crytek Budapest,Electronic Arts,PC
Warhammer Online: Age of Reckoning,1 million,2008-09-18,MMORPG,Mythic Entertainment,Electronic Arts,PC
Killing Floor,1 million,2009-05-14,First-person shooter,Tripwire Interactive,Tripwire Interactive,PC
The Sims 3,7 million,2009-06-02,Life simulation,Maxis,Electronic Arts,PC
Ultra Street Fighter IV,1.3 million,2009-07-02,Fighting,Capcom Dimps,Capcom,PC
Resident Evil 5,1 million,2009-09-17,"Third-person shooter, survival horror",Capcom,Capcom,PC
Machinarium,1 million,2009-10-16,"Graphic adventure, puzzle",Amanita Design,Amanita Design,PC
Sega Mega Drive and Genesis Classics,1.5 million,2010-06-01,Compilation,Sega,Sega,PC
StarCraft II: Wings of Liberty,6 million,2010-07-27,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment,PC
Magicka,2 million,2011-01-25,Action-adventure,Arrowhead Game Studios,Paradox Interactive,PC
Terraria,23 million,2011-05-16,Action-adventure,Re-Logic,Re-Logic,PC
The Witcher 2: Assassins of Kings,2 million,2011-05-17,Action role-playing,CD Projekt Red,CD Projekt,PC
